,Unnamed: 0,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density,Label
129,129,1145,-35.414936,149.132904,HEAGNEY CR AFTER LOUISA LAWSON CR NORTH ENTRY,GILMORE,"(-35.414936, 149.132904)",0.009707077,0.674553841,0.007416081,0.476190476,1
130,130,1142,-35.416759,149.135056,HEAGNEY CR 3RD AFTER EMILY BULLOCK CR,GILMORE,"(-35.416759, 149.135056)",0.281373645,0.507205789,0.007416081,0.476190476,1
131,131,1146,-35.414982,149.132813,HEAGNEY CR BEFORE HAMBIDGE CR,GILMORE,"(-35.414982, 149.132813)",0.009707077,0.669595727,0.007416081,0.476190476,1
132,132,5015,-35.217415,149.090332,BALDWIN DR AFTER GUM ST,GIRALANG,"(-35.217415, 149.090332)",0.01435964,0.873127461,0.011709602,0.416666667,1
133,133,5016,-35.217575,149.086792,BALDWIN DR AFTER WILLIAM SLIM DR,GIRALANG,"(-35.217575, 149.086792)",0.014624972,1.136071273,0.011709602,0.416666667,1
134,134,5097,-35.218632,149.096756,BALDWIN DR BEFORE CHUCULBA CR,GIRALANG,"(-35.218632, 149.096756)",0.587439726,0.745109467,0.011709602,0.416666667,1
135,135,1190,-35.452904,149.087967,LEWIS LUXTON AV AFTER SID BARNES CR,GORDON,"(-35.452904, 149.087967)",0.527953527,0.342232728,0.014832162,0.227272727,1
136,136,1187,-35.44709,149.083847,CLARE DENNIS AV AFTER 2ND FRED LANE CR,GORDON,"(-35.44709, 149.083847)",0.252496831,0.447281267,0.014832162,0.227272727,1
137,137,1188,-35.448402,149.086121,LEWIS LUXTON AV AFTER PREDDY WY,GORDON,"(-35.448402, 149.086121)",0.252496831,0.306307016,0.014832162,0.227272727,1
138,138,1505,-35.414013,149.10939,CASTLETON CR OPP GOWRIE SHOPS,GOWRIE,"(-35.414013, 149.10939)",0.320375368,0.230632984,0.008196721,0.526315789,1
139,139,1506,-35.412067,149.105804,CASTLETON CR AFTER 2ND WHEATLEY ST,GOWRIE,"(-35.412067, 149.105804)",0.390547619,0.38045296,0.008196721,0.526315789,1
140,140,1503,-35.41452,149.112869,BUGDEN AV AFTER CASTLETON CR,GOWRIE,"(-35.41452, 149.112869)",0.320375368,0.382372812,0.008196721,0.526315789,1
141,141,1068,-35.419975,149.070831,ANKETELL ST AFTER BUNNINGS WAREHOUSE,GREENWAY,"(-35.419975, 149.070831)",0.019962892,0.232234483,0.009367681,0.188679245,1
142,142,1066,-35.422523,149.072922,ANKETELL ST OPP ACTEW AGL,GREENWAY,"(-35.422523, 149.072922)",0.340949135,0.568553823,0.009367681,0.188679245,1
143,143,1067,-35.419796,149.070847,ANKETELL ST OPP TUGGERANONG SQUARE,GREENWAY,"(-35.419796, 149.070847)",0.019962892,0.214014494,0.009367681,0.188679245,1
144,144,5091,-35.333946,149.13533,LA PEROUSE ST AFTER HAMELIN CR,GRIFFITH,"(-35.333946, 149.13533)",0.022309323,1.040250466,0.009367681,0.363636364,1
145,145,2329,-35.319443,149.137543,GILES ST KINGSTON HOTEL,GRIFFITH,"(-35.319443, 149.137543)",0.280372163,0.587904514,0.009367681,0.363636364,1
146,146,2330,-35.317204,149.138962,GILES ST AFTER LEICHHARDT ST,GRIFFITH,"(-35.317204, 149.138962)",0.191920736,0.851005669,0.009367681,0.363636364,1
147,147,5083,-35.186932,149.124054,THE VALLEY AV AFTER GUNGAHLIN DR,GUNGAHLIN,"(-35.186932, 149.124054)",0.114390604,0.918186241,0.013270882,0.217391304,1
148,148,5084,-35.187759,149.123306,BURGMANN ANGLICAN SCHOOL THE VALLEY AV,GUNGAHLIN,"(-35.187759, 149.123306)",0.114390604,1.022331131,0.013270882,0.217391304,1
149,149,5085,-35.181183,149.13324,GOZZARD ST GUNGAHLIN,GUNGAHLIN,"(-35.181183, 149.13324)",0.913210671,0.214340983,0.013270882,0.217391304,1
150,150,3199,-35.247097,149.162964,MADIGAN ST AFTER HADDON ST,HACKETT,"(-35.247097, 149.162964)",0.379203537,0.107999218,0.004683841,0.526315789,1
151,151,3196,-35.246426,149.156311,ANTILL ST AFTER ANTILL SERVICE RD,HACKETT,"(-35.246426, 149.156311)",0.394433386,0.614791074,0.004683841,0.526315789,1
152,152,3197,-35.244644,149.160065,MADIGAN ST AFTER ANTILL ST,HACKETT,"(-35.244644, 149.160065)",0.379203537,0.452513274,0.004683841,0.526315789,1
